Study,ID,Hash,Position,Query_ID,Query,URL,Main,Search Engine,Speed,check canonical,check description,check external links,check h1,check https,check internal links,check kw_count,check kw_density,check kw_in_description-og-name,check kw_in_description-og-property,check kw_in_href,check kw_in_link-text,check kw_in_meta-content,check kw_in_meta-description,check kw_in_meta-og,check kw_in_meta-properties,check kw_in_source,check kw_in_title,check kw_in_title-meta,check kw_in_title-og,check kw_in_url,check nofollow,check og,check sitemap,check title,check title_h1_identical,check title_h1_match,check url_length,check viewport,check word_count,check wordpress,micros,micros counter,robots_txt,source ads,source company,source known,source news,source not optimized,source search engine,source shop,source top,tools ads,tools ads count,tools analytics,tools analytics count,tools caching,tools caching count,tools content,tools content count,tools seo,tools seo count,tools social,tools social count,decision_tree,rules
82,23003,007e34735874a3f83d95106bd5778d1a,132,336,"hochwasser","https://www.abendblatt.de/region/stormarn/article213015067/Sturm-laesst-Keller-volllaufen-und-sorgt-fuer-Hochwasser.html","https://www.abendblatt.de/","Google",4.44,1,1,58,1,1,156,1,1.351,0,1,1,0,6,1,1,0,6,1,0,1,1,3,1,0,1,0,0,108,1,74,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Google Tag Manager,1,0,0,0,0,0,0,0,0,probably_not_optimized,optimized
82,22935,013ae7fc5925fb3f884bc11dc53593af,64,336,"hochwasser","https://www.muenchen.de/aktuell/2021/2021-07/hochwasser-an-der-isar.html","https://www.muenchen.de/","Google",6.433,1,1,55,1,1,62,9,8.035,0,1,7,1,4,1,1,0,6,1,0,0,1,0,1,0,1,0,1,60,1,112,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Etracker,1,0,0,0,0,0,0,0,0,optimized,probably_optimized
82,22910,01f1e398b7b7a4dac8d8ea2da66fc1f1,39,336,"hochwasser","https://www.prefa.de/produkt-katalog/hochwasserschutz/","https://www.prefa.de/","Google",1.7930000000000001,1,1,12,1,1,358,7,25.0,0,1,13,6,5,1,1,0,55,1,0,1,1,0,1,0,1,0,0,42,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,optimized,probably_optimized
82,22913,03083af74bd15adfcf13db93f9578e2a,42,336,"hochwasser","https://www.swr3.de/aktuell/nachrichten/hochwasser-live-ticker-100.html","https://www.swr3.de/","Google",3.895,1,1,105,1,1,239,23,6.609,0,1,88,4,47,1,1,0,192,1,0,0,1,9,1,0,1,0,1,59,1,348,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,optimized,optimized
82,22938,04737b3e8f3697f11b16bbef6133ecfb,67,336,"hochwasser","https://www.dlrg.de/spenden/hochwasser/","https://www.dlrg.de/","Google",3.495,1,1,35,0,1,433,12,3.183,0,0,17,2,0,0,0,0,12,1,0,0,1,4,1,1,1,0,0,27,1,377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,optimized,probably_optimized
82,23038,054a899464515bee15bc2346bbbac5e1,167,336,"hochwasser","https://www.styc.de/?m=201610","https://www.styc.de/","Google",2.093,0,0,9,1,1,82,1,2.564,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,17,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,probably_optimized,probably_not_optimized
82,23025,07e719246154a3f49ee438d47eaca807,154,336,"hochwasser","https://www.hchagemann.de/referenz/hochwasserschutz-anlage-billhafen-hamburg","https://www.hchagemann.de/","Google",1.709,0,0,4,1,1,40,0,0.0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,1,0,2,64,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,optimized,probably_not_optimized
82,23055,08da656dbfce5cb72e88d1e70675ef08,184,336,"hochwasser","https://www.eos-serviceportal.de/","https://www.eos-serviceportal.de/","Google",1.046,0,0,1,1,1,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,21,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,optimized,probably_not_optimized
82,23019,0a18e63fce7f19472d2ac0e925717c04,148,336,"hochwasser","http://www.artlenburger-deichverband.de/component/content/","http://www.artlenburger-deichverband.de/","Google",1.486,0,0,14,0,0,64,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,47,1,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,optimized,probably_not_optimized
82,22928,0a4bbc5869aff3b7d619920c2c50cf25,57,336,"hochwasser","https://www.ksta.de/region/euskirchen-eifel/kreis-euskirchen-abkochgebot-fuer-wasser-ausgeweitet---polizei-korrigiert-todeszahlen-38908062","https://www.ksta.de/","Google",-1626950000.0,1,1,60,1,1,300,7,3.783,0,0,8,1,0,0,0,0,43,1,0,0,0,0,1,0,1,0,1,126,1,185,0,0,0,1,0,0,0,1,0,0,0,1,plista,1,0,0,0,0,0,0,0,0,0,0,optimized,optimized
