hash,module,result
007e34735874a3f83d95106bd5778d1a,check url_length,108
007e34735874a3f83d95106bd5778d1a,robots_txt,1
007e34735874a3f83d95106bd5778d1a,source top,1
007e34735874a3f83d95106bd5778d1a,source shop,0
007e34735874a3f83d95106bd5778d1a,source search engine,0
007e34735874a3f83d95106bd5778d1a,source not optimized,0
007e34735874a3f83d95106bd5778d1a,source news,1
007e34735874a3f83d95106bd5778d1a,source known,0
007e34735874a3f83d95106bd5778d1a,source company,0
007e34735874a3f83d95106bd5778d1a,source ads,0
007e34735874a3f83d95106bd5778d1a,check h1,1
007e34735874a3f83d95106bd5778d1a,check nofollow,3
007e34735874a3f83d95106bd5778d1a,check wordpress,0
007e34735874a3f83d95106bd5778d1a,check sitemap,0
007e34735874a3f83d95106bd5778d1a,check og,1
007e34735874a3f83d95106bd5778d1a,micros counter,0
007e34735874a3f83d95106bd5778d1a,micros,0
007e34735874a3f83d95106bd5778d1a,check https,1
007e34735874a3f83d95106bd5778d1a,tools ads count,0
007e34735874a3f83d95106bd5778d1a,tools ads,0
007e34735874a3f83d95106bd5778d1a,tools social count,0
007e34735874a3f83d95106bd5778d1a,tools social,0
007e34735874a3f83d95106bd5778d1a,tools content count,0
007e34735874a3f83d95106bd5778d1a,tools content,0
007e34735874a3f83d95106bd5778d1a,tools caching count,0
007e34735874a3f83d95106bd5778d1a,tools caching,0
007e34735874a3f83d95106bd5778d1a,tools seo count,0
007e34735874a3f83d95106bd5778d1a,tools seo,0
007e34735874a3f83d95106bd5778d1a,tools analytics count,1
007e34735874a3f83d95106bd5778d1a,tools analytics,Google Tag Manager
007e34735874a3f83d95106bd5778d1a,check external links,58
007e34735874a3f83d95106bd5778d1a,check internal links,156
007e34735874a3f83d95106bd5778d1a,check title,1
007e34735874a3f83d95106bd5778d1a,check description,1
007e34735874a3f83d95106bd5778d1a,check viewport,1
007e34735874a3f83d95106bd5778d1a,check title_h1_match,0
007e34735874a3f83d95106bd5778d1a,check title_h1_identical,0
007e34735874a3f83d95106bd5778d1a,check kw_density,1.351
007e34735874a3f83d95106bd5778d1a,check word_count,74
007e34735874a3f83d95106bd5778d1a,check kw_count,1
007e34735874a3f83d95106bd5778d1a,check kw_in_url,1
007e34735874a3f83d95106bd5778d1a,check kw_in_description-og-name,0
007e34735874a3f83d95106bd5778d1a,check kw_in_description-og-property,1
007e34735874a3f83d95106bd5778d1a,check kw_in_href,1
007e34735874a3f83d95106bd5778d1a,check kw_in_link-text,0
007e34735874a3f83d95106bd5778d1a,check kw_in_source,6
007e34735874a3f83d95106bd5778d1a,check kw_in_meta-og,1
007e34735874a3f83d95106bd5778d1a,check kw_in_meta-description,1
007e34735874a3f83d95106bd5778d1a,check kw_in_meta-properties,0
007e34735874a3f83d95106bd5778d1a,check kw_in_meta-content,6
007e34735874a3f83d95106bd5778d1a,check kw_in_title-meta,0
007e34735874a3f83d95106bd5778d1a,check kw_in_title-og,1
007e34735874a3f83d95106bd5778d1a,check kw_in_title,1
007e34735874a3f83d95106bd5778d1a,check canonical,1
009e206cdd2f1b09d1dd22b8ecf9efb9,check url_length,18
009e206cdd2f1b09d1dd22b8ecf9efb9,robots_txt,0
009e206cdd2f1b09d1dd22b8ecf9efb9,source top,0
009e206cdd2f1b09d1dd22b8ecf9efb9,source shop,0
009e206cdd2f1b09d1dd22b8ecf9efb9,source search engine,0
009e206cdd2f1b09d1dd22b8ecf9efb9,source not optimized,0
009e206cdd2f1b09d1dd22b8ecf9efb9,source news,0
009e206cdd2f1b09d1dd22b8ecf9efb9,source known,0
009e206cdd2f1b09d1dd22b8ecf9efb9,source company,0
009e206cdd2f1b09d1dd22b8ecf9efb9,source ads,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check h1,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check nofollow,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check wordpress,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check sitemap,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check og,0
009e206cdd2f1b09d1dd22b8ecf9efb9,micros counter,0
009e206cdd2f1b09d1dd22b8ecf9efb9,micros,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check https,1
009e206cdd2f1b09d1dd22b8ecf9efb9,tools ads count,0
009e206cdd2f1b09d1dd22b8ecf9efb9,tools ads,0
009e206cdd2f1b09d1dd22b8ecf9efb9,tools social count,0
009e206cdd2f1b09d1dd22b8ecf9efb9,tools social,0
009e206cdd2f1b09d1dd22b8ecf9efb9,tools content count,0
