results_studies_id,results_id,results_position,results_queries_id,results_url,results_main,results_se,hash
82,23003,132,336,"https://www.abendblatt.de/region/stormarn/article213015067/Sturm-laesst-Keller-volllaufen-und-sorgt-fuer-Hochwasser.html","https://www.abendblatt.de/",Google,007e34735874a3f83d95106bd5778d1a
82,23125,34,337,"https://www.weingut-merkel.de/","https://www.weingut-merkel.de/",Google,009e206cdd2f1b09d1dd22b8ecf9efb9
82,22935,64,336,"https://www.muenchen.de/aktuell/2021/2021-07/hochwasser-an-der-isar.html","https://www.muenchen.de/",Google,013ae7fc5925fb3f884bc11dc53593af
83,23317,59,339,"https://www.malteser-im-norden.de/angebote-und-leistungen/corona-testzentren.html","https://www.malteser-im-norden.de/",Google,013f59e351133992cce1f6598aff7b60
83,23263,5,339,"https://www.spiegel.de/wissenschaft/medizin/corona-news-am-donnerstag-titel-corona-news-a-efa9a8af-227f-4a5d-a0b0-e4b44fab5ab7","https://www.spiegel.de/",Google,01bb69fe0afad3f850aaa358323684c8
82,22910,39,336,"https://www.prefa.de/produkt-katalog/hochwasserschutz/","https://www.prefa.de/",Google,01f1e398b7b7a4dac8d8ea2da66fc1f1
83,23411,153,339,"https://www.abendblatt.de/","https://www.abendblatt.de/",Google,01f3ae7fc4c60769b1665a19e7d67252
83,23385,127,339,"https://www.ahrensburger-stadtforum.de/unser-verein/news/","https://www.ahrensburger-stadtforum.de/",Google,02445b05a464fd9349f7e5343a61d49a
83,23241,51,338,"https://www.swr.de/swraktuell/was-treibt-markus-soeder-mit-seinem-politikstil-an-100.html","https://www.swr.de/",Google,02790b30c0b4a2a5853ed80b6ec8e4ce
83,23401,143,339,"https://www.fennerlabor.de/","https://www.fennerlabor.de/",Google,02d2879aef1f99e4919cb857680f7c07
82,22913,42,336,"https://www.swr3.de/aktuell/nachrichten/hochwasser-live-ticker-100.html","https://www.swr3.de/",Google,03083af74bd15adfcf13db93f9578e2a
82,22938,67,336,"https://www.dlrg.de/spenden/hochwasser/","https://www.dlrg.de/",Google,04737b3e8f3697f11b16bbef6133ecfb
82,23162,71,337,"https://www.berliner-zeitung.de/politik-gesellschaft/daenemark-half-nsa-bei-der-bespitzelung-von-merkel-warum-herrscht-stille-li.170230","https://www.berliner-zeitung.de/",Google,04d5b6f7e01060ecb69e72dc3a638b06
82,23038,167,336,"https://www.styc.de/?m=201610","https://www.styc.de/",Google,054a899464515bee15bc2346bbbac5e1
83,23249,59,338,"https://www.hna.de/politik/corona-bayern-lockerungen-markus-soeder-diskos-clubs-geimpfte-coronavirus-pandemie-zr-90861108.html","https://www.hna.de/",Google,0568be6a5a0eacae8e1dd2dc3db387bf
83,23262,4,339,"https://www.bundesgesundheitsministerium.de/coronavirus.html","https://www.bundesgesundheitsministerium.de/",Google,060ec4fda36fc1957fb2bea43f75d584
82,23165,74,337,"https://www.bmi.bund.de/SharedDocs/videos/DE/pressestatements/2020/03/merkel-statement-leitlinien-corona.html","https://www.bmi.bund.de/",Google,06318c1cdc763765c25e3971722b1b5f
83,23217,27,338,"https://web.de/magazine/politik/thema/markus-soeder","https://web.de/",Google,0647e3130f5c79b2c23983737bd487b1
83,23245,55,338,"https://www.tz.de/stars/markus-soeder-tochter-gloria-sophie-burakndt-model-agentur-karriere-heidi-klum-90876328.html","https://www.tz.de/",Google,0721e4a85cc26f125e094ab74315df53
83,23347,89,339,"https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx","https://www.luechow-dannenberg.de/",Google,07ad36075dc5f9800fa4434e3b3b2c14
82,23025,154,336,"https://www.hchagemann.de/referenz/hochwasserschutz-anlage-billhafen-hamburg","https://www.hchagemann.de/",Google,07e719246154a3f49ee438d47eaca807
82,23134,43,337,"https://www.luther-lawfirm.com/team/team/dr-iur-wulf-merkel","https://www.luther-lawfirm.com/",Google,0893377fc39280fc30deb5ad7e68ffa7
83,23402,144,339,"https://m.focus.de/gesundheit/news/news-zur-corona-pandemie-hiv-patientin-erkrankte-fast-acht-monate-an-covid-19-und-entwickelte-32-mutationen_id_13378547.html","https://m.focus.de/",Google,08d02cb881c283406f9ba5e8da2c105b
82,23055,184,336,"https://www.eos-serviceportal.de/","https://www.eos-serviceportal.de/",Google,08da656dbfce5cb72e88d1e70675ef08
83,23294,36,339,"https://www.bundesfinanzministerium.de/Web/DE/Themen/Schlaglichter/Corona/corona.html","https://www.bundesfinanzministerium.de/",Google,096915931883cd9761de9fec1ae196ca
82,23019,148,336,"http://www.artlenburger-deichverband.de/component/content/","http://www.artlenburger-deichverband.de/",Google,0a18e63fce7f19472d2ac0e925717c04
82,22928,57,336,"https://www.ksta.de/region/euskirchen-eifel/kreis-euskirchen-abkochgebot-fuer-wasser-ausgeweitet---polizei-korrigiert-todeszahlen-38908062","https://www.ksta.de/",Google,0a4bbc5869aff3b7d619920c2c50cf25
82,23012,141,336,"https://www.antenneduesseldorf.de/artikel/live-ticker-zum-hochwasser-in-duesseldorf-und-deutschland-1008961.html","https://www.antenneduesseldorf.de/",Google,0b78ba3a316a2c65bbebb90f89b22b5c
82,23163,72,337,"https://www.uni-potsdam.de/de/ler/das-institut/mitarbeiter-a-z/prof-dr-linda-merkel","https://www.uni-potsdam.de/",Google,0bb5c04e28b54c7c1bbd767574711d4e
82,22929,58,336,"https://www.rnd.de/panorama/hochwasser-liveticker-merkel-besucht-heute-katastrophengebiet-in-nrw-L6GHHK2WUGIUTIXBTUZEVTYOCM.html","https://www.rnd.de/",Google,0bc8eb8ba3440a2afdb6efe17cc6b089
83,23195,5,338,"https://www.faz.net/aktuell/politik/thema/markus-soeder","https://www.faz.net/",Google,0c666ea1a98e88ae6e05e4b2c3dc3658
82,23181,90,337,"https://www.ln-online.de/Lokales/Stormarn/Ratschlaege-einer-Stylistin-Straehnchen-fuer-die-Kanzlerin","https://www.ln-online.de/",Google,0d9e99c48006c48f1a85d6d6a86e3931
83,23216,26,338,"https://www.wiwo.de/themen/markus-soeder","https://www.wiwo.de/",Google,0dce4a9c744a17e63f0f4b313d7bff3e
83,23399,141,339,"https://www.vhs-ahrensburg.de/","https://www.vhs-ahrensburg.de/",Google,0f67ae9cb58f05687a0ecb226d02aae3
83,23251,61,338,"https://www.mainpost.de/ueberregional/bayern/klimaneutral-bis-2040-soeder-kuendigt-verschaerften-klimaschutz-fuer-bayern-an-art-10634336","https://www.mainpost.de/",Google,0f728cd6a6516fd00a47a105badcaf14
82,23097,6,337,"https://www.spiegel.de/thema/angela_merkel/","https://www.spiegel.de/",Google,0fc57c4d1306191227b72dc28a4328c0
82,23022,151,336,"https://www.nationalgeographic.de/","https://www.nationalgeographic.de/",Google,10a42d17d74289560a41bf0fb5e18e9e
83,23219,29,338,"https://www.amazon.de/S%C3%B6der-andere-Biographie-Anna-Clau%C3%9F/dp/3455011551","https://www.amazon.de/",Google,1105d224d72ea2fad4a05060fca23227
83,23275,17,339,"https://www.niedersachsen.de/Coronavirus","https://www.niedersachsen.de/",Google,1197fc55973c550bbbfb68aba10551ad
83,23256,66,338,"https://www.idowa.de/inhalt.regierungserklaerung-soeder-will-verpflichtenden-hochwasser-tuev-fuer-bayerns-kommunen.980ae85f-71f9-4486-9138-757653571745.html","https://www.idowa.de/",Google,11a06ee8f11afdc5c73724a842e18297
83,23464,206,339,"https://www.kroschke.de/","https://www.kroschke.de/",Google,11ea6216a9e7ff507b3550b4adadd963
83,23360,102,339,"https://www.wolfsburg.de/coronavirus","https://www.wolfsburg.de/",Google,1210a64d723d077a1d5ce4da09e623af
