hash,speed
007e34735874a3f83d95106bd5778d1a,4.44
009e206cdd2f1b09d1dd22b8ecf9efb9,2.774
013ae7fc5925fb3f884bc11dc53593af,6.433
013f59e351133992cce1f6598aff7b60,3.088
01bb69fe0afad3f850aaa358323684c8,2.253
01f1e398b7b7a4dac8d8ea2da66fc1f1,1.793
01f3ae7fc4c60769b1665a19e7d67252,6.254
02445b05a464fd9349f7e5343a61d49a,2.546
02790b30c0b4a2a5853ed80b6ec8e4ce,1.488
02d2879aef1f99e4919cb857680f7c07,12.716
03083af74bd15adfcf13db93f9578e2a,3.895
04737b3e8f3697f11b16bbef6133ecfb,3.495
04d5b6f7e01060ecb69e72dc3a638b06,0.718
054a899464515bee15bc2346bbbac5e1,2.093
0568be6a5a0eacae8e1dd2dc3db387bf,5.014
060ec4fda36fc1957fb2bea43f75d584,5.73
06318c1cdc763765c25e3971722b1b5f,-1.0
0647e3130f5c79b2c23983737bd487b1,-1626950000.0
0721e4a85cc26f125e094ab74315df53,15.346
07ad36075dc5f9800fa4434e3b3b2c14,7.698
07e719246154a3f49ee438d47eaca807,1.709
0893377fc39280fc30deb5ad7e68ffa7,2.108
08d02cb881c283406f9ba5e8da2c105b,None
08da656dbfce5cb72e88d1e70675ef08,1.046
096915931883cd9761de9fec1ae196ca,9.439
0a18e63fce7f19472d2ac0e925717c04,1.486
0a4bbc5869aff3b7d619920c2c50cf25,-1626950000.0
0b78ba3a316a2c65bbebb90f89b22b5c,4.199
0bb5c04e28b54c7c1bbd767574711d4e,1.141
0bc8eb8ba3440a2afdb6efe17cc6b089,2.653
0c666ea1a98e88ae6e05e4b2c3dc3658,11.082
0d9e99c48006c48f1a85d6d6a86e3931,0.688
0dce4a9c744a17e63f0f4b313d7bff3e,4.789
0f67ae9cb58f05687a0ecb226d02aae3,2.491
0f728cd6a6516fd00a47a105badcaf14,10.68
0fc57c4d1306191227b72dc28a4328c0,0.978
10a42d17d74289560a41bf0fb5e18e9e,1.983
1105d224d72ea2fad4a05060fca23227,4.886
1197fc55973c550bbbfb68aba10551ad,7.628
11a06ee8f11afdc5c73724a842e18297,2.754
11ea6216a9e7ff507b3550b4adadd963,10.16
1210a64d723d077a1d5ce4da09e623af,13.52
1258bb4f598b513e2976fff3488d61b4,1.053
12deb19d6caa2d04e40154d8ce8c92f3,0.505
13aa895d9a8cf3cd0c38dd2132a8606d,2.692
1416c8608d34d0e9404fc89121da936b,15.294
14215d5d8256096c74b03c0be6934e0c,3.491
15b6ab4e190a3730c7bee1460140bfc1,2.001
15b811f07696efc72a4de6a569003a02,18.211
15ec967098905bc10d2e3f19d82c38cf,1.472
169d1d14d8764808ea23409124acdcc2,4.096
16aba40d202611b8e13ef8f380eaa22e,1.354
16c84cda04b166d0dfdd570f4a6c654a,1.233
174c231f95962c78413e2f80aa84b4e4,1.996
18904f7b3f7c066a5156223958822d1a,7.355
194c6114f75f0a2bd43cd9af5fedae91,4.686
1950034552c371cfe35b4681326f4fd3,12.102
195e87972970a1ec6ee8ab35a9c45952,6.084
19f06239ff2b6a898b90a7a05636a50c,59.477
1a0bb543a95aea3cf0b2b608a9f34d6e,1.96
1c1d93b0338cd73ae25bfb1143e79055,0.993
