"Autopmize","*noptimi*"
"WP Rocket","*wp* *rocket*"
"W3 Total Cache","*w3* *cache*"
"MemCached","*memcach*"
"WP Super Minify plugin","*super* *minify*"
"Generated by http://stylesplugin.com", "*generated* *stylesplugin*"
"AMFPC Cache Hit","*amfpc cache* *hit*"
"Cache Enabler by KeyCDN","*cache* *keycdn*"
"breeze CACHE","*breeze* *cache*"
"Borlabs Cache","*borlabs* *cache*"
"Cachify","*cachify*"
"LiteSpeed Cache","*litespeed* *cach*"
"WP Super Cache","*wp super* *cache*"
"Speedup DashBoard","*speedup* *dashboard*"
