"Piwik","*piwik*"
"Google Analytics","*google* *analytics*"
"Google Tag Manager","*google* *tag*"
"Common Trackers","*commo* *track*"
"Demandware Analytics","*demandware* *analy*"
"Etracker","*etracker*"
"YooChoose Tracker","*yoochoose*"
"Adobe Analytics","*adobe* *analyt*"
"Bing Tracking","*bing* *track*"
"Omniture Tracking","*omniture* *track*"
"Awin Tracking","*awin* *track*"
"Yandex Metrika","*yandex* *metr*"
"CQUOTIENT","*cquotient*"
"Adform Tracking","*adform* *track*"
"Exactmetrics","*exactmetrics*"
"Google Adsense","*google* *adsense*"
"Google Adwords","*google* *adwords*"
"WP Statistics","*wp* *statistics*"
"Global Site Tag","*global site tag*"
"Hotjar Tracking","*hotjar* *track*"
"epoq Tracking","*epoq* *track*"
"Baidu Webmaster Tools","*baidu* *webmaster*"
"Bing Webmaster Tools","*bing* *webmaster*"
"Avidata Conversion Tracking","*avidata* *track*"
"Monsterinsights","*monsterinsights*"
"Eulerian Analytics","*eulerian* *analyti*"
"Criteo Tracking","*criteo* *track*"
"Management Tool Tealium","*management* *tealium*"
"IntelliTools","*intellitools*"
"Affiliate Toolkit","*affiliate* *toolkit*"
"FATools","*fatools*"
"Addthis","*addthis.com*"
"Google WebmasterTools","*google* *webmaster*"
"WooCommerce","*woocommerce*"
"All in One Webmaster","*all in one webmaster*"
"WP Analytify","*wp analytify*"
"Easy Plugin for AdSense","*easy plugin* *adsense*"
"NETZdinge.de Affiliate Tracking Plugin","*netzdinge* *affiliate tracking*"
"AdSense-Deluxe WordPress Plugin","*adsense* *deluxe* *wordpress*"
"Quick Adsense Wordpress Plugin","*quick* *adsense*"
"Adsense Auto Ads","*adsense* *auto* *ads*"
"WP QUADS Content Ad Plugin","*wp quads*"
"Yandex Metrica Plugin","*yandex metrica*"
"CRITEO Tag - Tracker","*criteo tag* *tracker*"
"TradeTracker SuperTag","*tradetracker* *supertag*"
"GoogleTagManager tracker","*googletagmanager*"
"Edmunds Ad Solutions Analytics","*edmunds ad* *analytics*"
"GADWP Universal Tracking","*gadwp* *tracking*"
"Madgex Google Universal Analytics Snippet","*madgex* *google* *analytics*"
"HubSpot","*hubspot*"
"GTM Data Analytics","*gtm* *data* *analytics*"
"Goolytics","*goolytics*"
"WIPE Web Analytics","*wipe* *web* *analytics*"
"Yahoo Gemini analytics","*yahoo* *gemini* *analytics*"
